x,u
1.013163631,-0.250353294
1.01787602,-0.251086278
1.022588409,-0.251813686
1.027300798,-0.252535502
1.032013187,-0.253251711
1.036725576,-0.253962295
1.041437965,-0.25466724
1.046150354,-0.255366529
1.050862743,-0.256060148
1.055575132,-0.256748081
1.060287521,-0.257430312
1.06499991,-0.258106826
1.069712299,-0.258777609
1.074424688,-0.259442645
1.079137077,-0.26010192
1.083849465,-0.260755419
1.088561854,-0.261403127
1.093274243,-0.262045031
1.097986632,-0.262681115
1.102699021,-0.263311366
1.10741141,-0.26393577
1.112123799,-0.264554313
1.116836188,-0.265166981
1.121548577,-0.26577376
1.126260966,-0.266374638
1.130973355,-0.2669696
1.135685744,-0.267558634
1.140398133,-0.268141726
1.145110522,-0.268718864
1.149822911,-0.269290035
1.1545353,-0.269855225
1.159247689,-0.270414423
1.163960078,-0.270967616
1.168672467,-0.271514791
1.173384856,-0.272055938
1.178097245,-0.272591042
1.182809634,-0.273120094
1.187522023,-0.27364308
1.192234412,-0.27415999
1.196946801,-0.274670812
1.20165919,-0.275175534
1.206371579,-0.275674145
1.211083968,-0.276166635
1.215796357,-0.276652992
1.220508746,-0.277133205
1.225221135,-0.277607264
1.229933524,-0.278075159
1.234645913,-0.278536878
1.239358302,-0.278992412
1.244070691,-0.279441751
1.24878308,-0.279884884
1.253495469,-0.280321802
1.258207858,-0.280752495
1.262920247,-0.281176953
1.267632636,-0.281595168
1.272345025,-0.282007129
1.277057414,-0.282412827
1.281769803,-0.282812255
1.286482192,-0.283205402
1.291194581,-0.28359226
1.29590697,-0.28397282
1.300619359,-0.284347074
1.305331748,-0.284715014
1.310044137,-0.285076632
1.314756526,-0.285431918
1.319468915,-0.285780867
1.324181303,-0.286123469
1.328893692,-0.286459717
1.333606081,-0.286789604
1.33831847,-0.287113123
1.343030859,-0.287430265
1.347743248,-0.287741025
1.352455637,-0.288045395
1.357168026,-0.288343369
1.361880415,-0.288634939
1.366592804,-0.2889201
1.371305193,-0.289198845
1.376017582,-0.289471167
1.380729971,-0.289737062
1.38544236,-0.289996523
1.390154749,-0.290249543
1.394867138,-0.290496119
1.399579527,-0.290736243
1.404291916,-0.290969911
1.409004305,-0.291197118
1.413716694,-0.291417858
1.418429083,-0.291632127
1.423141472,-0.291839919
1.427853861,-0.292041231
1.43256625,-0.292236058
1.437278639,-0.292424395
1.441991028,-0.292606238
1.446703417,-0.292781584
1.451415806,-0.292950428
1.456128195,-0.293112766
1.460840584,-0.293268596
1.465552973,-0.293417913
1.470265362,-0.293560714
1.474977751,-0.293696996
1.47969014,-0.293826756
1.484402529,-0.293949991
1.489114918,-0.294066699
1.493827307,-0.294176876
1.498539696,-0.294280521
1.503252085,-0.294377631
1.507964474,-0.294468204
1.512676863,-0.294552237
1.517389252,-0.29462973
1.522101641,-0.29470068
1.52681403,-0.294765085
1.531526419,-0.294822945
1.536238808,-0.294874258
1.540951197,-0.294919023
1.545663586,-0.294957238
1.550375975,-0.294988904
1.555088364,-0.295014019
1.559800753,-0.295032582
1.564513141,-0.295044594
1.56922553,-0.295050054
1.573937919,-0.295048962
1.578650308,-0.295041318
1.583362697,-0.295027122
1.588075086,-0.295006375
1.592787475,-0.294979076
1.597499864,-0.294945227
1.602212253,-0.294904829
1.606924642,-0.294857881
1.611637031,-0.294804386
1.61634942,-0.294744344
1.621061809,-0.294677757
1.625774198,-0.294604626
1.630486587,-0.294524953
1.635198976,-0.294438739
1.639911365,-0.294345987
1.644623754,-0.294246699
1.649336143,-0.294140876
1.654048532,-0.294028522
1.658760921,-0.293909638
1.66347331,-0.293784227
1.668185699,-0.293652293
1.672898088,-0.293513837
1.677610477,-0.293368864
1.682322866,-0.293217376
1.687035255,-0.293059376
1.691747644,-0.292894869
1.696460033,-0.292723858
1.701172422,-0.292546346
1.705884811,-0.292362337
1.7105972,-0.292171836
1.715309589,-0.291974848
1.720021978,-0.291771375
1.724734367,-0.291561423
1.729446756,-0.291344997
1.734159145,-0.2911221
1.738871534,-0.290892739
1.743583923,-0.290656919
1.748296312,-0.290414643
1.753008701,-0.290165919
1.75772109,-0.289910751
1.762433479,-0.289649145
1.767145868,-0.289381107
1.771858257,-0.289106643
1.776570646,-0.288825759
1.781283035,-0.288538461
1.785995424,-0.288244755
1.790707813,-0.287944649
1.795420202,-0.287638148
1.800132591,-0.28732526
1.804844979,-0.287005991
1.809557368,-0.286680349
1.814269757,-0.286348341
1.818982146,-0.286009974
1.823694535,-0.285665255
1.828406924,-0.285314193
1.833119313,-0.284956795
1.837831702,-0.28459307
1.842544091,-0.284223024
1.84725648,-0.283846667
1.851968869,-0.283464006
1.856681258,-0.283075051
1.861393647,-0.28267981
1.866106036,-0.282278291
1.870818425,-0.281870504
1.875530814,-0.281456457
1.880243203,-0.28103616
1.884955592,-0.280609623
1.889667981,-0.280176854
1.89438037,-0.279737863
1.899092759,-0.27929266
1.903805148,-0.278841256
1.908517537,-0.278383659
1.913229926,-0.27791988
1.917942315,-0.277449929
1.922654704,-0.276973817
1.927367093,-0.276491555
1.932079482,-0.276003152
1.936791871,-0.275508621
1.94150426,-0.275007972
1.946216649,-0.274501215
1.950929038,-0.273988363
1.955641427,-0.273469426
1.960353816,-0.272944417
1.965066205,-0.272413346
1.969778594,-0.271876226
1.974490983,-0.271333069
1.979203372,-0.270783886
1.983915761,-0.27022869
1.98862815,-0.269667493
1.993340539,-0.269100308
1.998052928,-0.268527147
2.002765317,-0.267948023
2.007477706,-0.267362949
2.012190095,-0.266771938
2.016902484,-0.266175002
2.021614873,-0.265572156
2.026327262,-0.264963412
2.031039651,-0.264348784
2.03575204,-0.263728286
2.040464429,-0.263101931
2.045176817,-0.262469734
2.049889206,-0.261831709
2.054601595,-0.261187869
2.059313984,-0.260538228
2.064026373,-0.259882803
2.068738762,-0.259221606
2.073451151,-0.258554652
2.07816354,-0.257881957
2.082875929,-0.257203536
2.087588318,-0.256519403
2.092300707,-0.255829573
2.097013096,-0.255134062
2.101725485,-0.254432886
2.106437874,-0.253726059
2.111150263,-0.253013599
2.115862652,-0.252295519
2.120575041,-0.251571837
2.12528743,-0.250842568
2.129999819,-0.25010773
2.134712208,-0.249367337
2.139424597,-0.248621406
2.144136986,-0.247869954
2.148849375,-0.247112998
2.153561764,-0.246350555
2.158274153,-0.245582641
2.162986542,-0.244809273
2.167698931,-0.244030469
2.17241132,-0.243246246
2.177123709,-0.242456622
2.181836098,-0.241661613
2.186548487,-0.240861237
2.191260876,-0.240055513
2.195973265,-0.239244458
2.200685654,-0.238428091
2.205398043,-0.237606428
2.210110432,-0.23677949
2.214822821,-0.235947293
2.21953521,-0.235109857
2.224247599,-0.234267199
2.228959988,-0.23341934
2.233672377,-0.232566296
2.238384766,-0.231708089
2.243097155,-0.230844736
2.247809544,-0.229976257
2.252521933,-0.22910267
2.257234322,-0.228223996
2.261946711,-0.227340254
2.2666591,-0.226451464
2.271371489,-0.225557645
2.276083878,-0.224658817
2.280796267,-0.223755
2.285508655,-0.222846215
2.290221044,-0.22193248
2.294933433,-0.221013818
2.299645822,-0.220090247
2.304358211,-0.219161789
2.3090706,-0.218228464
2.313782989,-0.217290293
2.318495378,-0.216347297
2.323207767,-0.215399496
2.327920156,-0.214446912
2.332632545,-0.213489566
2.337344934,-0.212527479
2.342057323,-0.211560673
2.346769712,-0.210589168
2.351482101,-0.209612987
2.35619449,-0.208632151
2.360906879,-0.207646683
2.365619268,-0.206656603
2.370331657,-0.205661934
2.375044046,-0.204662698
2.379756435,-0.203658917
2.384468824,-0.202650614
2.389181213,-0.20163781
2.393893602,-0.200620529
2.398605991,-0.199598792
2.40331838,-0.198572624
2.408030769,-0.197542045
2.412743158,-0.19650708
2.417455547,-0.195467751
2.422167936,-0.194424082
2.426880325,-0.193376095
2.431592714,-0.192323813
2.436305103,-0.191267261
2.441017492,-0.190206462
2.445729881,-0.189141438
2.45044227,-0.188072215
2.455154659,-0.186998815
2.459867048,-0.185921262
2.464579437,-0.184839581
2.469291826,-0.183753795
2.474004215,-0.182663929
2.478716604,-0.181570006
2.483428993,-0.180472051
2.488141382,-0.179370089
2.492853771,-0.178264143
2.49756616,-0.177154239
2.502278549,-0.1760404
2.506990938,-0.174922653
2.511703327,-0.173801021
2.516415716,-0.172675529
2.521128105,-0.171546203
2.525840493,-0.170413068
2.530552882,-0.169276148
2.535265271,-0.168135469
2.53997766,-0.166991057
2.544690049,-0.165842936
2.549402438,-0.164691132
2.554114827,-0.163535671
2.558827216,-0.162376579
2.563539605,-0.16121388
2.568251994,-0.160047602
2.572964383,-0.15887777
2.577676772,-0.157704409
2.582389161,-0.156527547
2.58710155,-0.155347208
2.591813939,-0.15416342
2.596526328,-0.152976208
2.601238717,-0.1517856
2.605951106,-0.15059162
2.610663495,-0.149394297
2.615375884,-0.148193656
2.620088273,-0.146989724
2.624800662,-0.145782528
2.629513051,-0.144572094
2.63422544,-0.14335845
2.638937829,-0.142141623
2.643650218,-0.140921639
2.648362607,-0.139698526
2.653074996,-0.138472311
2.657787385,-0.13724302
2.662499774,-0.136010682
2.667212163,-0.134775324
2.671924552,-0.133536972
2.676636941,-0.132295655
2.68134933,-0.131051401
2.686061719,-0.129804236
2.690774108,-0.128554189
2.695486497,-0.127301287
2.700198886,-0.126045558
2.704911275,-0.12478703
2.709623664,-0.123525731
2.714336053,-0.122261688
2.719048442,-0.120994931
2.723760831,-0.119725487
2.72847322,-0.118453384
2.733185609,-0.117178651
2.737897998,-0.115901316
2.742610387,-0.114621407
2.747322776,-0.113338952
2.752035165,-0.112053981
2.756747554,-0.110766521
2.761459943,-0.109476602
2.766172331,-0.108184251
2.77088472,-0.106889498
2.775597109,-0.105592372
2.780309498,-0.1042929
2.785021887,-0.102991113
2.789734276,-0.101687039
2.794446665,-0.100380706
2.799159054,-0.099072144
