x,u
0.000000,0.000000
0.004712,-0.001390
0.009425,-0.002781
0.014137,-0.004171
0.018850,-0.005561
0.023562,-0.006952
0.028274,-0.008341
0.032987,-0.009731
0.037699,-0.011121
0.042412,-0.012510
0.047124,-0.013899
0.051836,-0.015288
0.056549,-0.016676
0.061261,-0.018064
0.065973,-0.019452
0.070686,-0.020839
0.075398,-0.022226
0.080111,-0.023612
0.084823,-0.024998
0.089535,-0.026383
0.094248,-0.027768
0.098960,-0.029151
0.103673,-0.030535
0.108385,-0.031917
0.113097,-0.033299
0.117810,-0.034680
0.122522,-0.036061
0.127235,-0.037440
0.131947,-0.038819
0.136659,-0.040197
0.141372,-0.041574
0.146084,-0.042950
0.150796,-0.044325
0.155509,-0.045700
0.160221,-0.047073
0.164934,-0.048445
0.169646,-0.049816
0.174358,-0.051186
0.179071,-0.052555
0.183783,-0.053922
0.188496,-0.055289
0.193208,-0.056654
0.197920,-0.058018
0.202633,-0.059380
0.207345,-0.060742
0.212058,-0.062102
0.216770,-0.063460
0.221482,-0.064817
0.226195,-0.066173
0.230907,-0.067527
0.235619,-0.068880
0.240332,-0.070231
0.245044,-0.071581
0.249757,-0.072929
0.254469,-0.074276
0.259181,-0.075621
0.263894,-0.076964
0.268606,-0.078305
0.273319,-0.079645
0.278031,-0.080983
0.282743,-0.082319
0.287456,-0.083653
0.292168,-0.084986
0.296881,-0.086316
0.301593,-0.087645
0.306305,-0.088972
0.311018,-0.090296
0.315730,-0.091619
0.320442,-0.092940
0.325155,-0.094258
0.329867,-0.095575
0.334580,-0.096889
0.339292,-0.098201
0.344004,-0.099512
0.348717,-0.100819
0.353429,-0.102125
0.358142,-0.103428
0.362854,-0.104729
0.367566,-0.106028
0.372279,-0.107325
0.376991,-0.108619
0.381704,-0.109910
0.386416,-0.111199
0.391128,-0.112486
0.395841,-0.113770
0.400553,-0.115052
0.405265,-0.116331
0.409978,-0.117607
0.414690,-0.118881
0.419403,-0.120152
0.424115,-0.121421
0.428827,-0.122687
0.433540,-0.123950
0.438252,-0.125211
0.442965,-0.126468
0.447677,-0.127723
0.452389,-0.128975
0.457102,-0.130224
0.461814,-0.131470
0.466527,-0.132714
0.471239,-0.133954
0.475951,-0.135191
0.480664,-0.136426
0.485376,-0.137657
0.490088,-0.138886
0.494801,-0.140111
0.499513,-0.141333
0.504226,-0.142552
0.508938,-0.143768
0.513650,-0.144980
0.518363,-0.146190
0.523075,-0.147396
0.527788,-0.148599
0.532500,-0.149798
0.537212,-0.150994
0.541925,-0.152187
0.546637,-0.153377
0.551350,-0.154563
0.556062,-0.155746
0.560774,-0.156925
0.565487,-0.158101
0.570199,-0.159273
0.574911,-0.160442
0.579624,-0.161607
0.584336,-0.162768
0.589049,-0.163926
0.593761,-0.165080
0.598473,-0.166231
0.603186,-0.167378
0.607898,-0.168521
0.612611,-0.169661
0.617323,-0.170796
0.622035,-0.171928
0.626748,-0.173056
0.631460,-0.174180
0.636173,-0.175301
0.640885,-0.176417
0.645597,-0.177530
0.650310,-0.178639
0.655022,-0.179743
0.659734,-0.180844
0.664447,-0.181940
0.669159,-0.183033
0.673872,-0.184122
0.678584,-0.185206
0.683296,-0.186286
0.688009,-0.187363
0.692721,-0.188435
0.697434,-0.189503
0.702146,-0.190566
0.706858,-0.191626
0.711571,-0.192681
0.716283,-0.193732
0.720996,-0.194778
0.725708,-0.195820
0.730420,-0.196858
0.735133,-0.197892
0.739845,-0.198921
0.744557,-0.199946
0.749270,-0.200966
0.753982,-0.201982
0.758695,-0.202993
0.763407,-0.204000
0.768119,-0.205002
0.772832,-0.206000
0.777544,-0.206993
0.782257,-0.207982
0.786969,-0.208966
0.791681,-0.209945
0.796394,-0.210920
0.801106,-0.211890
0.805819,-0.212855
0.810531,-0.213816
0.815243,-0.214771
0.819956,-0.215722
0.824668,-0.216669
0.829380,-0.217610
0.834093,-0.218547
0.838805,-0.219478
0.843518,-0.220405
0.848230,-0.221327
0.852942,-0.222244
0.857655,-0.223156
0.862367,-0.224063
0.867080,-0.224966
0.871792,-0.225863
0.876504,-0.226755
0.881217,-0.227642
0.885929,-0.228524
0.890642,-0.229401
0.895354,-0.230273
0.900066,-0.231140
0.904779,-0.232002
0.909491,-0.232858
0.914203,-0.233709
0.918916,-0.234556
0.923628,-0.235397
0.928341,-0.236232
0.933053,-0.237063
0.937765,-0.237888
0.942478,-0.238708
0.947190,-0.239522
0.951903,-0.240332
0.956615,-0.241136
0.961327,-0.241934
0.966040,-0.242728
0.970752,-0.243515
0.975465,-0.244298
0.980177,-0.245075
0.984889,-0.245847
0.989602,-0.246613
0.994314,-0.247373
0.999026,-0.248128
1.003739,-0.248878
1.008451,-0.249622
1.013164,-0.250361
1.017876,-0.251094
1.022588,-0.251821
1.027301,-0.252543
1.032013,-0.253259
1.036726,-0.253970
1.041438,-0.254675
1.046150,-0.255374
1.050863,-0.256068
1.055575,-0.256756
1.060288,-0.257438
1.065000,-0.258114
1.069712,-0.258785
1.074425,-0.259450
1.079137,-0.260110
1.083849,-0.260763
1.088562,-0.261411
1.093274,-0.262053
1.097987,-0.262689
1.102699,-0.263319
1.107411,-0.263944
1.112124,-0.264562
1.116836,-0.265175
1.121549,-0.265782
1.126261,-0.266383
1.130973,-0.266978
1.135686,-0.267567
1.140398,-0.268150
1.145111,-0.268727
1.149823,-0.269298
1.154535,-0.269863
1.159248,-0.270422
1.163960,-0.270976
1.168672,-0.271523
1.173385,-0.272064
1.178097,-0.272599
1.182810,-0.273128
1.187522,-0.273651
1.192234,-0.274168
1.196947,-0.274679
1.201659,-0.275184
1.206372,-0.275682
1.211084,-0.276175
1.215796,-0.276661
1.220509,-0.277141
1.225221,-0.277615
1.229934,-0.278083
1.234646,-0.278545
1.239358,-0.279001
1.244071,-0.279450
1.248783,-0.279893
1.253495,-0.280330
1.258208,-0.280761
1.262920,-0.281185
1.267633,-0.281604
1.272345,-0.282015
1.277057,-0.282421
1.281770,-0.282821
1.286482,-0.283214
1.291195,-0.283601
1.295907,-0.283981
1.300619,-0.284356
1.305332,-0.284723
1.310044,-0.285085
1.314757,-0.285440
1.319469,-0.285789
1.324181,-0.286132
1.328894,-0.286468
1.333606,-0.286798
1.338318,-0.287122
1.343031,-0.287439
1.347743,-0.287750
1.352456,-0.288054
1.357168,-0.288352
1.361880,-0.288643
1.366593,-0.288929
1.371305,-0.289207
1.376018,-0.289480
1.380730,-0.289746
1.385442,-0.290005
1.390155,-0.290258
1.394867,-0.290505
1.399580,-0.290745
1.404292,-0.290979
1.409004,-0.291206
1.413717,-0.291426
1.418429,-0.291641
1.423141,-0.291849
1.427854,-0.292050
1.432566,-0.292245
1.437279,-0.292433
1.441991,-0.292615
1.446703,-0.292790
1.451416,-0.292959
1.456128,-0.293121
1.460841,-0.293277
1.465553,-0.293427
1.470265,-0.293569
1.474978,-0.293706
1.479690,-0.293835
1.484403,-0.293959
1.489115,-0.294075
1.493827,-0.294186
1.498540,-0.294289
1.503252,-0.294386
1.507964,-0.294477
1.512677,-0.294561
1.517389,-0.294638
1.522102,-0.294709
1.526814,-0.294774
1.531526,-0.294832
1.536239,-0.294883
1.540951,-0.294928
1.545664,-0.294966
1.550376,-0.294998
1.555088,-0.295023
1.559801,-0.295041
1.564513,-0.295053
1.569226,-0.295059
1.573938,-0.295058
1.578650,-0.295050
1.583363,-0.295036
1.588075,-0.295015
1.592787,-0.294988
1.597500,-0.294954
1.602212,-0.294914
1.606925,-0.294867
1.611637,-0.294813
1.616349,-0.294753
1.621062,-0.294686
1.625774,-0.294613
1.630487,-0.294534
1.635199,-0.294447
1.639911,-0.294355
1.644624,-0.294255
1.649336,-0.294150
1.654049,-0.294037
1.658761,-0.293918
1.663473,-0.293793
1.668186,-0.293661
1.672898,-0.293523
1.677610,-0.293378
1.682323,-0.293226
1.687035,-0.293068
1.691748,-0.292904
1.696460,-0.292733
1.701172,-0.292555
1.705885,-0.292371
1.710597,-0.292180
1.715310,-0.291984
1.720022,-0.291780
1.724734,-0.291570
1.729447,-0.291354
1.734159,-0.291131
1.738872,-0.290901
1.743584,-0.290666
1.748296,-0.290423
1.753009,-0.290175
1.757721,-0.289919
1.762433,-0.289658
1.767146,-0.289390
1.771858,-0.289115
1.776571,-0.288834
1.781283,-0.288547
1.785995,-0.288253
1.790708,-0.287953
1.795420,-0.287647
1.800133,-0.287334
1.804845,-0.287014
1.809557,-0.286689
1.814270,-0.286357
1.818982,-0.286018
1.823695,-0.285674
1.828407,-0.285323
1.833119,-0.284965
1.837832,-0.284602
1.842544,-0.284231
1.847256,-0.283855
1.851969,-0.283472
1.856681,-0.283083
1.861394,-0.282688
1.866106,-0.282287
1.870818,-0.281879
1.875531,-0.281465
1.880243,-0.281044
1.884956,-0.280618
1.889668,-0.280185
1.894380,-0.279746
1.899093,-0.279301
1.903805,-0.278850
