x,u
0,0
0.04712389,-0.013898778
0.09424778,-0.027766697
0.141371669,-0.041572967
0.188495559,-0.055286935
0.235619449,-0.068878152
0.282743339,-0.082316443
0.329867229,-0.09557197
0.376991118,-0.108615303
0.424115008,-0.121417484
0.471238898,-0.133950087
0.518362788,-0.146185287
0.565486678,-0.15809592
0.612610567,-0.16965554
0.659734457,-0.180838482
0.706858347,-0.191619918
0.753982237,-0.20197591
0.801106127,-0.211883464
0.848230016,-0.221320585
0.895353906,-0.230266318
0.942477796,-0.238700803
0.989601686,-0.246605311
1.036725576,-0.253962295
1.083849465,-0.260755419
1.130973355,-0.2669696
1.178097245,-0.272591042
1.225221135,-0.277607264
1.272345025,-0.282007129
1.319468915,-0.285780867
1.366592804,-0.2889201
1.413716694,-0.291417858
1.460840584,-0.293268596
1.507964474,-0.294468204
1.555088364,-0.295014019
1.602212253,-0.294904829
1.649336143,-0.294140876
1.696460033,-0.292723858
1.743583923,-0.290656919
1.790707813,-0.287944649
1.837831702,-0.28459307
1.884955592,-0.280609623
1.932079482,-0.276003152
1.979203372,-0.270783886
2.026327262,-0.264963412
2.073451151,-0.258554652
2.120575041,-0.251571837
2.167698931,-0.244030469
2.214822821,-0.235947293
2.261946711,-0.227340254
2.3090706,-0.218228464
2.35619449,-0.208632151
2.40331838,-0.198572624
2.45044227,-0.188072215
2.49756616,-0.177154239
2.544690049,-0.165842936
2.591813939,-0.15416342
2.638937829,-0.142141623
2.686061719,-0.129804236
2.733185609,-0.117178651
2.780309498,-0.1042929
2.827433388,-0.091175593
2.874557278,-0.077855854
2.921681168,-0.064363255
2.968805058,-0.050727753
3.015928947,-0.036979623
3.063052837,-0.023149389
3.110176727,-0.009267758
3.157300617,0.004634451
3.204424507,0.018526369
3.251548396,0.032377154
3.298672286,0.046156054
3.345796176,0.059832476
3.392920066,0.073376055
3.440043956,0.086756721
3.487167845,0.099944765
3.534291735,0.112910907
3.581415625,0.125626358
3.628539515,0.138062887
3.675663405,0.150192883
3.722787295,0.161989412
3.769911184,0.173426284
3.817035074,0.184478107
3.864158964,0.195120342
3.911282854,0.205329362
3.958406744,0.215082498
4.005530633,0.224358098
4.052654523,0.233135567
4.099778413,0.241395416
4.146902303,0.249119308
4.194026193,0.256290092
4.241150082,0.262891848
4.288273972,0.268909918
4.335397862,0.274330941
4.382521752,0.279142881
4.429645642,0.283335054
4.476769531,0.286898152
4.523893421,0.289824264
4.571017311,0.292106894
4.618141201,0.293740974
4.665265091,0.294722875
4.71238898,0.295050418
