x,u
0.000000,0.000000
0.009425,-0.002781
0.018850,-0.005562
0.028274,-0.008342
0.037699,-0.011122
0.047124,-0.013900
0.056549,-0.016678
0.065973,-0.019454
0.075398,-0.022228
0.084823,-0.025000
0.094248,-0.027770
0.103673,-0.030537
0.113097,-0.033302
0.122522,-0.036064
0.131947,-0.038823
0.141372,-0.041578
0.150796,-0.044329
0.160221,-0.047077
0.169646,-0.049820
0.179071,-0.052559
0.188496,-0.055293
0.197920,-0.058023
0.207345,-0.060747
0.216770,-0.063466
0.226195,-0.066179
0.235619,-0.068886
0.245044,-0.071587
0.254469,-0.074282
0.263894,-0.076971
0.273319,-0.079652
0.282743,-0.082326
0.292168,-0.084993
0.301593,-0.087653
0.311018,-0.090304
0.320442,-0.092948
0.329867,-0.095583
0.339292,-0.098210
0.348717,-0.100828
0.358142,-0.103438
0.367566,-0.106038
0.376991,-0.108628
0.386416,-0.111209
0.395841,-0.113780
0.405265,-0.116341
0.414690,-0.118892
0.424115,-0.121432
0.433540,-0.123961
0.442965,-0.126479
0.452389,-0.128986
0.461814,-0.131482
0.471239,-0.133966
0.480664,-0.136438
0.490088,-0.138898
0.499513,-0.141345
0.508938,-0.143780
0.518363,-0.146203
0.527788,-0.148612
0.537212,-0.151008
0.546637,-0.153391
0.556062,-0.155760
0.565487,-0.158115
0.574911,-0.160456
0.584336,-0.162783
0.593761,-0.165095
0.603186,-0.167393
0.612611,-0.169676
0.622035,-0.171943
0.631460,-0.174196
0.640885,-0.176433
0.650310,-0.178654
0.659734,-0.180860
0.669159,-0.183049
0.678584,-0.185223
0.688009,-0.187379
0.697434,-0.189519
0.706858,-0.191643
0.716283,-0.193749
0.725708,-0.195838
0.735133,-0.197910
0.744557,-0.199964
0.753982,-0.202000
0.763407,-0.204018
0.772832,-0.206018
0.782257,-0.208000
0.791681,-0.209964
0.801106,-0.211909
0.810531,-0.213835
0.819956,-0.215742
0.829380,-0.217629
0.838805,-0.219498
0.848230,-0.221347
0.857655,-0.223176
0.867080,-0.224986
0.876504,-0.226775
0.885929,-0.228545
0.895354,-0.230294
0.904779,-0.232022
0.914203,-0.233730
0.923628,-0.235417
0.933053,-0.237084
0.942478,-0.238729
0.951903,-0.240353
0.961327,-0.241956
0.970752,-0.243537
0.980177,-0.245097
0.989602,-0.246635
0.999026,-0.248150
1.008451,-0.249644
1.017876,-0.251116
1.027301,-0.252565
1.036726,-0.253992
1.046150,-0.255397
1.055575,-0.256779
1.065000,-0.258137
1.074425,-0.259473
1.083849,-0.260786
1.093274,-0.262076
1.102699,-0.263343
1.112124,-0.264586
1.121549,-0.265805
1.130973,-0.267001
1.140398,-0.268174
1.149823,-0.269322
1.159248,-0.270446
1.168672,-0.271547
1.178097,-0.272623
1.187522,-0.273676
1.196947,-0.274703
1.206372,-0.275707
1.215796,-0.276686
